,Unnamed: 0_otm,交易日期,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Unnamed: 0_call_straddle,行权价_call_straddle,成交量(手)_call_straddle,到期剩余天数_call_straddle,期权代码_call_straddle,收盘价_call_straddle,到期ETF收盘价_call_straddle,现期ETF收盘价_call_straddle,monthly_RV_call_straddle,option_type_call_straddle,期权收益率_call_straddle,IV_call_straddle,在值程度_call_straddle,Unnamed: 0_put_straddle,行权价_put_straddle,成交量(手)_put_straddle,到期剩余天数_put_straddle,期权代码_put_straddle,收盘价_put_straddle,到期ETF收盘价_put_straddle,现期ETF收盘价_put_straddle,monthly_RV_put_straddle,option_type_put_straddle,期权收益率_put_straddle,IV_put_straddle,在值程度_put_straddle,Return_straddle,Return
18,200,2016-04-29,2.0,6474.0,26,10000612.SH,0.0074,2.074,2.135,0.1290755275562051,put,-1.1538461538461535,0.2176093430390357,0.94,51,2.15,20029.0,26,10000603.SH,0.04,2.074,2.135,0.1290755275562051,call,-1.1538461538461535,0.1996511878030299,1,51,2.15,15210.0,26,10000608.SH,0.06,2.074,2.135,0.1290755275562051,put,0.3076923076923091,0.2372777334924638,1,-0.2769230769230761,-0.20684499086226862
19,229,2016-05-09,1.95,6622.0,44,10000542.SH,0.02,2.124,2.071,0.1334306949169264,put,-0.6818181818181818,0.2317710419289469,0.94,56,2.05,2335.0,44,10000529.SH,0.07,2.124,2.071,0.1334306949169264,call,0.0389610389610416,0.1952313863935471,1,56,2.05,6421.0,44,10000530.SH,0.06,2.124,2.071,0.1334306949169264,put,-0.6818181818181818,0.2547122621859311,1,-0.2937062937062922,-0.22314049586776677
20,234,2016-05-10,1.95,5219.0,43,10000542.SH,0.02,2.124,2.07,0.1286202117282052,put,-0.6976744186046512,0.2332944166784286,0.94,57,2.05,2402.0,43,10000529.SH,0.06,2.124,2.07,0.1286202117282052,call,0.162790697674422,0.1636358740655482,1,57,2.05,5895.0,43,10000530.SH,0.06,2.124,2.07,0.1286202117282052,put,-0.6976744186046512,0.2559160369899273,1,-0.26744186046511453,-0.18139534883720723
21,239,2016-05-11,1.95,2605.0,42,10000542.SH,0.02,2.124,2.077,0.1280584932120271,put,-0.7142857142857143,0.2430735074386,0.94,58,2.05,2533.0,42,10000529.SH,0.06,2.124,2.077,0.1280584932120271,call,0.1666666666666702,0.1498654794729352,1,58,2.05,2736.0,42,10000530.SH,0.05,2.124,2.077,0.1280584932120271,put,-0.7142857142857143,0.2329112782133817,1,-0.23376623376623187,-0.1269841269841247
22,244,2016-05-12,1.95,5814.0,41,10000542.SH,0.02,2.124,2.083,0.1235453892961177,put,-0.7317073170731707,0.2520108618261218,0.94,59,2.05,4875.0,41,10000529.SH,0.06,2.124,2.083,0.1235453892961177,call,0.1707317073170768,0.1369714515342712,1,59,2.05,6422.0,41,10000530.SH,0.05,2.124,2.083,0.1235453892961177,put,-0.7317073170731707,0.2444386915399432,1,-0.23946784922394482,-0.13008130081300578
23,249,2016-05-13,1.95,2326.0,40,10000542.SH,0.02,2.124,2.079,0.1235543441382964,put,-0.75,0.2508674068924784,0.94,60,2.05,2356.0,40,10000529.SH,0.05,2.124,2.079,0.1235543441382964,call,0.3600000000000043,0.109605959521681,1,60,2.05,2658.0,40,10000530.SH,0.05,2.124,2.079,0.1235543441382964,put,-0.75,0.2412724943925738,1,-0.19499999999999784,-0.0562499999999973
24,254,2016-05-16,1.95,3696.0,37,10000542.SH,0.0135,2.124,2.081,0.1144600816725471,put,-0.8108108108108109,0.2254156402528285,0.94,61,2.05,4669.0,37,10000529.SH,0.05,2.124,2.081,0.1144600816725471,call,0.3891891891891939,0.1091838992430567,1,61,2.05,4394.0,37,10000530.SH,0.04,2.124,2.081,0.1144600816725471,put,-0.8108108108108109,0.2140901673617959,1,-0.14414414414414156,-0.02649708532061167
25,259,2016-05-17,1.95,3470.0,36,10000542.SH,0.012,2.124,2.077,0.1132803719792121,put,-0.8333333333333334,0.2149625405065417,0.94,62,2.05,3712.0,36,10000529.SH,0.05,2.124,2.077,0.1132803719792121,call,0.4000000000000048,0.1226861326729059,1,62,2.05,3914.0,36,10000530.SH,0.04,2.124,2.077,0.1132803719792121,put,-0.8333333333333334,0.210590780416727,1,-0.1481481481481455,-0.04273504273503963
26,264,2016-05-18,1.95,6923.0,35,10000542.SH,0.0118,2.124,2.0780000000000003,0.1128100391320136,put,-0.8571428571428571,0.2175965876514315,0.94,63,2.05,10135.0,35,10000529.SH,0.04,2.124,2.0780000000000003,0.1128100391320136,call,0.7285714285714346,0.0768740256046056,1,63,2.05,10467.0,35,10000530.SH,0.04,2.124,2.0780000000000003,0.1128100391320136,put,-0.8571428571428571,0.2149512156296968,1,-0.0642857142857112,0.07289484708839922
27,269,2016-05-19,1.95,3760.0,34,10000542.SH,0.0107,2.124,2.072,0.1083347721159044,put,-0.8823529411764706,0.2071719789111018,0.94,64,2.05,6753.0,34,10000529.SH,0.04,2.124,2.072,0.1083347721159044,call,0.7500000000000063,0.0980238887631892,1,64,2.05,7438.0,34,10000530.SH,0.04,2.124,2.072,0.1083347721159044,put,-0.8823529411764706,0.2080473918912113,1,-0.06617647058823212,0.05984211866565176
28,274,2016-05-20,1.95,4072.0,33,10000542.SH,0.0075,2.124,2.083,0.1096861199940402,put,-0.9090909090909092,0.1976644467767477,0.94,65,2.05,6529.0,33,10000529.SH,0.05,2.124,2.083,0.1096861199940402,call,0.4363636363636415,0.1107533483599126,1,65,2.05,9004.0,33,10000530.SH,0.03,2.124,2.083,0.1096861199940402,put,-0.9090909090909092,0.1868783956512212,1,-0.06818181818181492,0.01880877742947055
29,279,2016-05-23,1.95,5346.0,30,10000542.SH,0.0048,2.124,2.084,0.1087887918927282,put,-1.0,0.1832105660642385,0.94,66,2.05,11051.0,30,10000529.SH,0.05,2.124,2.084,0.1087887918927282,call,0.4800000000000057,0.1139811170745492,1,66,2.05,12986.0,30,10000530.SH,0.03,2.124,2.084,0.1087887918927282,put,-1.0,0.1969524100462794,1,-0.0749999999999964,-0.01595744680850686
30,284,2016-05-24,1.95,3925.0,29,10000542.SH,0.0065,2.124,2.069,0.1105511203327518,put,-1.0344827586206895,0.1873971942199468,0.94,67,2.05,12605.0,29,10000529.SH,0.04,2.124,2.069,0.1105511203327518,call,0.8793103448275937,0.1171867128724157,1,67,2.05,10619.0,29,10000530.SH,0.03,2.124,2.069,0.1105511203327518,put,-1.0344827586206895,0.1744643040723204,1,0.059113300492615,0.17105620418137865
31,289,2016-05-25,1.95,3614.0,28,10000542.SH,0.0067,2.124,2.074,0.1092715598572987,put,-1.0714285714285714,0.1975396347129941,0.94,68,2.05,16816.0,28,10000529.SH,0.04,2.124,2.074,0.1092715598572987,call,0.9107142857142934,0.103951329303801,1,68,2.05,14767.0,28,10000530.SH,0.03,2.124,2.074,0.1092715598572987,put,-1.0714285714285714,0.1862397918063997,1,0.06122448979592267,0.181110358835482
32,294,2016-05-26,1.95,9744.0,27,10000542.SH,0.0047,2.124,2.074,0.1087584622615028,put,-1.1111111111111112,0.1817550213665962,0.94,69,2.05,25224.0,27,10000529.SH,0.04,2.124,2.074,0.1087584622615028,call,0.9444444444444524,0.1062935522537827,1,69,2.05,27546.0,27,10000530.SH,0.02,2.124,2.074,0.1087584622615028,put,-1.1111111111111112,0.1426279294952153,1,0.25925925925926474,0.3757283504119006
33,299,2016-05-27,1.95,5582.0,26,10000542.SH,0.0036,2.124,2.0780000000000003,0.1081467439713327,put,-1.1538461538461535,0.1765815792053937,0.94,70,2.05,16306.0,26,10000529.SH,0.04,2.124,2.0780000000000003,0.1081467439713327,call,0.9807692307692388,0.0939532511882186,1,70,2.05,15075.0,26,10000530.SH,0.02,2.124,2.0780000000000003,0.1081467439713327,put,-1.1538461538461535,0.151961773781538,1,0.26923076923077494,0.36006546644845105
34,308,2016-06-08,2.0,2528.0,49,10000637.SH,0.0128,2.215,2.139,0.1286292843897991,put,-0.6122448979591837,0.1956948718795776,0.94,72,2.15,6053.0,49,10000635.SH,0.05,2.215,2.139,0.1286292843897991,call,0.1836734693877544,0.1666236746003032,1,72,2.15,4128.0,49,10000640.SH,0.07,2.215,2.139,0.1286292843897991,put,-0.6122448979591837,0.2167112207006216,1,-0.2806122448979595,-0.24101431617423122
35,333,2016-06-22,2.0,2934.0,35,10000637.SH,0.0089,2.215,2.124,0.1571290369014585,put,-0.8571428571428571,0.1893993132368921,0.94,80,2.1,22930.0,35,10000634.SH,0.05,2.215,2.124,0.1571290369014585,call,1.1142857142857103,0.1295438820440173,1,80,2.1,19815.0,35,10000639.SH,0.04,2.215,2.124,0.1571290369014585,put,-0.8571428571428571,0.2037752311130166,1,0.23809523809523592,0.358287828078208
36,345,2016-06-28,2.0,8183.0,29,10000637.SH,0.0051,2.215,2.117,0.1645020508881977,put,-1.0344827586206895,0.1686117269281149,0.94,84,2.1,27507.0,29,10000634.SH,0.05,2.215,2.117,0.1645020508881977,call,1.344827586206892,0.1633126978431642,1,84,2.1,23180.0,29,10000639.SH,0.03,2.215,2.117,0.1645020508881977,put,-1.0344827586206895,0.1669941768869757,1,0.45258620689654877,0.5538419041480566
37,348,2016-06-29,2.0,9104.0,28,10000637.SH,0.0031,2.215,2.135,0.1664106278441188,put,-1.0714285714285714,0.1666321384556293,0.94,85,2.15,21555.0,28,10000635.SH,0.03,2.215,2.135,0.1664106278441188,call,1.2499999999999984,0.1493144348075091,1,85,2.15,17463.0,28,10000640.SH,0.05,2.215,2.135,0.1664106278441188,put,-1.0714285714285714,0.1868033534409701,1,-0.20089285714285784,-0.16579973992197733
38,352,2016-06-30,2.0,6145.0,27,10000637.SH,0.0029,2.215,2.136,0.166419771304668,put,-1.1111111111111112,0.1678437810688018,0.94,86,2.15,23889.0,27,10000635.SH,0.03,2.215,2.136,0.166419771304668,call,1.2962962962962947,0.1503222892420888,1,86,2.15,19988.0,27,10000640.SH,0.04,2.215,2.136,0.166419771304668,put,-1.1111111111111112,0.1489014940349757,1,-0.07936507936508032,-0.03477396920019964
39,360,2016-07-05,2.05,4947.0,50,10000651.SH,0.0093,2.28,2.185,0.1293129840536298,put,-0.6,0.1672067269439697,0.94,88,2.2,6877.0,50,10000649.SH,0.04,2.28,2.185,0.1293129840536298,call,0.5999999999999944,0.1358532093527614,1,88,2.2,2165.0,50,10000654.SH,0.06,2.28,2.185,0.1293129840536298,put,-0.6,0.172929127609074,1,-0.12000000000000223,-0.07078280044101681
40,364,2016-07-06,2.05,3923.0,49,10000651.SH,0.0089,2.28,2.184,0.1292417818333741,put,-0.6122448979591837,0.1656818024744987,0.94,89,2.15,3472.0,49,10000648.SH,0.06,2.28,2.184,0.1292417818333741,call,0.7142857142857134,0.1141064655798375,1,89,2.15,2698.0,49,10000653.SH,0.04,2.28,2.184,0.1292417818333741,put,-0.6122448979591837,0.183680965685606,1,0.18367346938775445,0.26143058760276816
41,367,2016-07-07,2.05,1911.0,48,10000651.SH,0.0101,2.28,2.189,0.1278286901087354,put,-0.625,0.1782135535633563,0.94,90,2.2,4140.0,48,10000649.SH,0.04,2.28,2.189,0.1278286901087354,call,0.6249999999999942,0.1329049266777336,1,90,2.2,2348.0,48,10000654.SH,0.06,2.28,2.189,0.1278286901087354,put,-0.625,0.1824064998082518,1,-0.12500000000000233,-0.06882647385984694
42,371,2016-07-08,2.05,3052.0,47,10000651.SH,0.011,2.28,2.177,0.1274875670921251,put,-0.6382978723404256,0.1753433529339432,0.94,91,2.15,2285.0,47,10000648.SH,0.06,2.28,2.177,0.1274875670921251,call,0.7446808510638289,0.1331369078392087,1,91,2.15,2385.0,47,10000653.SH,0.04,2.28,2.177,0.1274875670921251,put,-0.6382978723404256,0.1781729032159447,1,0.191489361702127,0.29404733444895925
43,374,2016-07-11,2.05,3098.0,44,10000651.SH,0.008,2.28,2.188,0.1283103809915212,put,-0.6818181818181818,0.1717409692142009,0.94,92,2.2,6550.0,44,10000649.SH,0.04,2.28,2.188,0.1283103809915212,call,0.6818181818181754,0.1412974352797865,1,92,2.2,3705.0,44,10000654.SH,0.06,2.28,2.188,0.1283103809915212,put,-0.6818181818181818,0.1878982306134104,1,-0.1363636363636389,-0.0889328063241134
44,379,2016-07-12,2.1,4501.0,43,10000652.SH,0.0093,2.28,2.233,0.1436027439727203,put,-0.6976744186046512,0.1738313030613064,0.94,93,2.25,9472.0,43,10000655.SH,0.04,2.28,2.233,0.1436027439727203,call,-0.1744186046511662,0.1475910865747928,1,93,2.25,2673.0,43,10000656.SH,0.06,2.28,2.233,0.1436027439727203,put,-0.6976744186046512,0.1774628930423855,1,-0.4883720930232572,-0.4669111048434671
45,384,2016-07-13,2.1,5514.0,42,10000652.SH,0.0087,2.28,2.236,0.1100278145596378,put,-0.7142857142857143,0.1744969674013257,0.94,94,2.25,12847.0,42,10000655.SH,0.05,2.28,2.236,0.1100278145596378,call,-0.2857142857142885,0.1778918078517317,1,94,2.25,5333.0,42,10000656.SH,0.06,2.28,2.236,0.1100278145596378,put,-0.7142857142857143,0.184422268282026,1,-0.5194805194805208,-0.5027499647440432
46,389,2016-07-14,2.1,3267.0,41,10000652.SH,0.008,2.28,2.233,0.1104462324933755,put,-0.7317073170731707,0.1695437046878338,0.94,95,2.25,5805.0,41,10000655.SH,0.04,2.28,2.233,0.1104462324933755,call,-0.1829268292682962,0.1515786353164911,1,95,2.25,4027.0,41,10000656.SH,0.06,2.28,2.233,0.1104462324933755,put,-0.7317073170731707,0.1812209640164375,1,-0.512195121951221,-0.4931071049840948
47,394,2016-07-15,2.1,1635.0,40,10000652.SH,0.0075,2.28,2.236,0.1104842190460664,put,-0.75,0.1706142035727501,0.94,96,2.25,4969.0,40,10000655.SH,0.04,2.28,2.236,0.1104842190460664,call,-0.1875000000000036,0.1488396840492486,1,96,2.25,2225.0,40,10000656.SH,0.06,2.28,2.236,0.1104842190460664,put,-0.75,0.1884608981787562,1,-0.5250000000000015,-0.5067567567567584
48,399,2016-07-18,2.1,1957.0,37,10000652.SH,0.0083,2.28,2.228,0.1106562651702796,put,-0.8108108108108109,0.1757095636883378,0.94,97,2.25,7002.0,37,10000655.SH,0.04,2.28,2.228,0.1106562651702796,call,-0.2027027027027066,0.1686592318062484,1,97,2.25,3636.0,37,10000656.SH,0.06,2.28,2.228,0.1106562651702796,put,-0.8108108108108109,0.1802621045753658,1,-0.5675675675675692,-0.5455510035662726
49,424,2016-07-26,2.1,6693.0,29,10000652.SH,0.0049,2.28,2.227,0.1126939680565347,put,-1.0344827586206895,0.1682631591397524,0.94,103,2.2,30134.0,29,10000649.SH,0.05,2.28,2.227,0.1126939680565347,call,0.6206896551724062,0.1291906650956869,1,103,2.2,17517.0,29,10000654.SH,0.03,2.28,2.227,0.1126939680565347,put,-1.0344827586206895,0.1760627806366681,1,-4.823727624233439e-15,0.06749621194728347
50,460,2016-08-11,2.1,8188.0,48,10000572.SH,0.0078,2.219,2.2230000000000003,0.0765775972333862,put,-0.625,0.1487321573238372,0.94,109,2.2,11486.0,48,10000591.SH,0.05,2.219,2.2230000000000003,0.0765775972333862,call,-0.3875000000000039,0.1035104339668452,1,109,2.2,12772.0,48,10000592.SH,0.03,2.219,2.2230000000000003,0.0765775972333862,put,-0.625,0.1353280330902338,1,-0.47656250000000244,-0.46052631578947645
51,479,2016-08-15,2.2,25492.0,44,10000592.SH,0.0141,2.219,2.336,0.1403122103467914,put,-0.6818181818181818,0.1923450925180911,0.94,111,2.35,46971.0,44,10000667.SH,0.05,2.219,2.336,0.1403122103467914,call,-0.6818181818181818,0.1655627124537825,1,111,2.35,16249.0,44,10000668.SH,0.06,2.219,2.336,0.1403122103467914,put,0.8068181818181843,0.1734079314811527,1,0.13016528925619972,0.24954972035264164
52,509,2016-08-18,2.15,5691.0,41,10000574.SH,0.006,2.219,2.29,0.1483122109810934,put,-0.7317073170731707,0.1575913104565143,0.94,114,2.3,17358.0,41,10000599.SH,0.05,2.219,2.29,0.1483122109810934,call,-0.7317073170731707,0.1696816893714964,1,114,2.3,11145.0,41,10000600.SH,0.05,2.219,2.29,0.1483122109810934,put,0.4536585365853652,0.156496492888689,1,-0.13902439024390273,-0.1011935651271409
53,529,2016-08-22,2.15,3704.0,37,10000574.SH,0.0062,2.219,2.287,0.1496967577473616,put,-0.8108108108108109,0.1645726797990799,0.94,116,2.3,23372.0,37,10000599.SH,0.04,2.219,2.287,0.1496967577473616,call,-0.8108108108108109,0.1502119014951586,1,116,2.3,15589.0,37,10000600.SH,0.05,2.219,2.287,0.1496967577473616,put,0.5027027027027021,0.1584188013261854,1,-0.08108108108108143,-0.027091530671483323
54,539,2016-08-23,2.15,5061.0,36,10000574.SH,0.0055,2.219,2.29,0.1450941963093906,put,-0.8333333333333334,0.1636188867502809,0.94,117,2.3,35232.0,36,10000599.SH,0.04,2.219,2.29,0.1450941963093906,call,-0.8333333333333334,0.1474275911159217,1,117,2.3,16053.0,36,10000600.SH,0.05,2.219,2.29,0.1450941963093906,put,0.516666666666666,0.1656817428698838,1,-0.08333333333333369,-0.03451676528599633
55,549,2016-08-24,2.15,7098.0,35,10000574.SH,0.0063,2.219,2.28,0.1465545883034675,put,-0.8571428571428571,0.1639676929571032,0.94,118,2.3,35639.0,35,10000599.SH,0.04,2.219,2.28,0.1465545883034675,call,-0.8571428571428571,0.1666205751603246,1,118,2.3,22526.0,35,10000600.SH,0.06,2.219,2.28,0.1465545883034675,put,0.2999999999999995,0.1847739951149821,1,-0.16285714285714317,-0.11617624637902159
56,587,2016-08-30,2.15,5677.0,29,10000574.SH,0.0043,2.219,2.276,0.1408335323535091,put,-1.0344827586206895,0.1580658824009299,0.94,122,2.25,29260.0,29,10000595.SH,0.05,2.219,2.276,0.1408335323535091,call,-1.0344827586206895,0.1288439450503885,1,122,2.25,19108.0,29,10000596.SH,0.03,2.219,2.276,0.1408335323535091,put,0.0344827586206945,0.1707620826224982,1,-0.6336206896551707,-0.610850453241013
57,596,2016-08-31,2.15,7063.0,28,10000574.SH,0.0036,2.219,2.2840000000000003,0.1390309323168466,put,-1.0714285714285714,0.1604058403755426,0.94,123,2.3,32181.0,28,10000599.SH,0.04,2.219,2.2840000000000003,0.1390309323168466,call,-1.0714285714285714,0.1806926883139312,1,123,2.3,18690.0,28,10000600.SH,0.05,2.219,2.2840000000000003,0.1390309323168466,put,0.6642857142857135,0.1730349854052663,1,-0.1071428571428576,-0.06696428571428607
58,615,2016-09-02,2.15,2780.0,26,10000574.SH,0.0045,2.219,2.279,0.1423068228952286,put,-1.1538461538461535,0.1712896430696249,0.94,125,2.25,23372.0,26,10000595.SH,0.05,2.219,2.279,0.1423068228952286,call,-1.1538461538461535,0.1284309446732401,1,125,2.25,18469.0,26,10000596.SH,0.03,2.219,2.279,0.1423068228952286,put,0.0384615384615439,0.1845236557320952,1,-0.7067307692307672,-0.6800815078960752
