,交易日期,行权价_call,成交量(手)_call,到期剩余天数_call,期权代码_call,收盘价_call,到期ETF收盘价_call,现期ETF收盘价_call,monthly_RV_call,option_type_call,期权收益率_call,IV_call,在值程度_call,行权价_put,成交量(手)_put,到期剩余天数_put,期权代码_put,收盘价_put,到期ETF收盘价_put,现期ETF收盘价_put,monthly_RV_put,option_type_put,期权收益率_put,IV_put,在值程度_put,Return
47,2017-03-13,2.45,6735.0,44,10000860.SH,0.0056,2.339,2.355,0.0809160273178855,call,-0.0227272727272727,0.0968023517839312,1.04,2.25,6125.0,44,10000868.SH,0.0039,2.339,2.355,0.0809160273178855,put,-0.0227272727272727,0.1072553323209881,0.96,-0.6818181818181818
48,2017-03-14,2.45,6491.0,43,10000860.SH,0.0053,2.339,2.351,0.0790560544865993,call,-0.0232558139534883,0.0994332994888424,1.04,2.25,6412.0,43,10000868.SH,0.0041,2.339,2.351,0.0790560544865993,put,-0.0232558139534883,0.1070461201224327,0.96,-0.6976744186046512
49,2017-03-15,2.45,5849.0,42,10000860.SH,0.0066,2.339,2.354,0.0769947197945304,call,-0.0238095238095238,0.1055610711403787,1.04,2.25,7490.0,42,10000868.SH,0.0055,2.339,2.354,0.0769947197945304,put,-0.0238095238095238,0.1198801858184337,0.96,-0.7142857142857143
50,2017-03-20,2.45,8414.0,37,10000860.SH,0.0036,2.339,2.347,0.0880112725583037,call,-0.027027027027027,0.0995756353093981,1.04,2.25,6490.0,37,10000868.SH,0.0032,2.339,2.347,0.0880112725583037,put,-0.027027027027027,0.1045165002629756,0.96,-0.8108108108108109
51,2017-03-21,2.45,6644.0,36,10000860.SH,0.0041,2.339,2.353,0.0872919819727082,call,-0.0277777777777777,0.0999468528514504,1.04,2.25,5411.0,36,10000868.SH,0.0028,2.339,2.353,0.0872919819727082,put,-0.0277777777777777,0.1066974331248402,0.96,-0.8333333333333334
52,2017-03-28,2.45,6395.0,29,10000860.SH,0.0034,2.339,2.354,0.0813856730853355,call,-0.0344827586206896,0.1057398253806829,1.04,2.25,3760.0,29,10000868.SH,0.002,2.339,2.354,0.0813856730853355,put,-0.0344827586206896,0.1098577890199422,0.96,-1.0344827586206897
53,2017-03-29,2.45,8032.0,28,10000860.SH,0.0027,2.339,2.352,0.0775558195875389,call,-0.0357142857142857,0.1031339116140604,1.04,2.25,2068.0,28,10000868.SH,0.0017,2.339,2.352,0.0775558195875389,put,-0.0357142857142857,0.1062626770632267,0.96,-1.0714285714285714
54,2017-03-31,2.45,5448.0,26,10000860.SH,0.0022,2.339,2.356,0.0810215782215652,call,-0.0384615384615384,0.0986428230850696,1.04,2.25,2654.0,26,10000868.SH,0.0011,2.339,2.356,0.0810215782215652,put,-0.0384615384615384,0.1036777441210746,0.96,-1.1538461538461537
55,2017-04-14,2.45,11868.0,40,10000873.SH,0.004,2.399,2.35,0.0820636104262111,call,-0.025,0.0959811193988323,1.04,2.25,4093.0,40,10000874.SH,0.0038,2.399,2.35,0.0820636104262111,put,-0.025,0.107687227361083,0.96,-0.75
56,2017-04-17,2.45,7050.0,37,10000873.SH,0.0036,2.399,2.353,0.0819838940579485,call,-0.027027027027027,0.0949470985382795,1.04,2.25,4548.0,37,10000874.SH,0.003,2.399,2.353,0.0819838940579485,put,-0.027027027027027,0.1071599649370312,0.96,-0.8108108108108109
57,2017-05-18,2.45,1485.0,41,10000747.SH,0.0033,2.548,2.35,0.0813902839268878,call,0.6999260901699916,0.0898377909427881,1.04,2.25,770.0,41,10000734.SH,0.0019,2.548,2.35,0.0813902839268878,put,-0.024390243902439,0.0899455560866594,0.96,13.05816135084426
58,2017-05-18,2.45,1485.0,41,10000747.SH,0.0033,2.548,2.35,0.0813902839268878,call,0.6999260901699916,0.0898377909427881,1.04,2.25,3076.0,41,10000822.SH,0.0019,2.548,2.35,0.0813902839268878,put,-0.024390243902439,0.0899455560866594,0.96,13.05816135084426
59,2017-05-18,2.45,4424.0,41,10000800.SH,0.0034,2.548,2.35,0.0813902839268878,call,0.678622668579626,0.0905574570639729,1.04,2.25,770.0,41,10000734.SH,0.0019,2.548,2.35,0.0813902839268878,put,-0.024390243902439,0.0899455560866594,0.96,12.797975149562799
60,2017-05-18,2.45,4424.0,41,10000800.SH,0.0034,2.548,2.35,0.0813902839268878,call,0.678622668579626,0.0905574570639729,1.04,2.25,3076.0,41,10000822.SH,0.0019,2.548,2.35,0.0813902839268878,put,-0.024390243902439,0.0899455560866594,0.96,12.797975149562799
61,2017-05-19,2.45,944.0,40,10000747.SH,0.0034,2.548,2.355,0.0784860112494961,call,0.6955882352941167,0.0881010316717028,1.04,2.25,760.0,40,10000734.SH,0.0021,2.548,2.355,0.0784860112494961,put,-0.025,0.0963160973349809,0.96,12.613636363636346
62,2017-05-19,2.45,944.0,40,10000747.SH,0.0034,2.548,2.355,0.0784860112494961,call,0.6955882352941167,0.0881010316717028,1.04,2.25,2718.0,40,10000822.SH,0.0018,2.548,2.355,0.0784860112494961,put,-0.025,0.0931034085879325,0.96,13.384615384615365
63,2017-05-19,2.45,4573.0,40,10000800.SH,0.0033,2.548,2.355,0.0784860112494961,call,0.7174242424242414,0.0873900678243041,1.04,2.25,760.0,40,10000734.SH,0.0021,2.548,2.355,0.0784860112494961,put,-0.025,0.0963160973349809,0.96,12.861111111111093
64,2017-05-19,2.45,4573.0,40,10000800.SH,0.0033,2.548,2.355,0.0784860112494961,call,0.7174242424242414,0.0873900678243041,1.04,2.25,2718.0,40,10000822.SH,0.0018,2.548,2.355,0.0784860112494961,put,-0.025,0.0931034085879325,0.96,13.66176470588233
65,2017-05-23,2.5,2914.0,36,10000765.SH,0.0031,2.548,2.403,0.0867647969095847,call,0.402329749103943,0.0906009684329033,1.04,2.3,5819.0,36,10000735.SH,0.0028,2.548,2.403,0.0867647969095847,put,-0.0277777777777777,0.1045108974291682,0.96,5.946327683615825
66,2017-05-23,2.5,2914.0,36,10000765.SH,0.0031,2.548,2.403,0.0867647969095847,call,0.402329749103943,0.0906009684329033,1.04,2.3,28388.0,36,10000802.SH,0.0028,2.548,2.403,0.0867647969095847,put,-0.0277777777777777,0.1045108974291682,0.96,5.946327683615825
67,2017-05-23,2.5,12487.0,36,10000801.SH,0.0026,2.548,2.403,0.0867647969095847,call,0.4850427350427355,0.086597803282082,1.04,2.3,5819.0,36,10000735.SH,0.0028,2.548,2.403,0.0867647969095847,put,-0.0277777777777777,0.1045108974291682,0.96,6.574074074074081
68,2017-05-23,2.5,12487.0,36,10000801.SH,0.0026,2.548,2.403,0.0867647969095847,call,0.4850427350427355,0.086597803282082,1.04,2.3,28388.0,36,10000802.SH,0.0028,2.548,2.403,0.0867647969095847,put,-0.0277777777777777,0.1045108974291682,0.96,6.574074074074081
69,2017-05-24,2.5,2222.0,35,10000765.SH,0.003,2.548,2.399,0.0867155761264164,call,0.428571428571429,0.0942299358109235,1.04,2.3,3696.0,35,10000735.SH,0.0027,2.548,2.399,0.0867155761264164,put,-0.0285714285714285,0.1020829630428552,0.96,6.360902255639103
70,2017-05-24,2.5,2222.0,35,10000765.SH,0.003,2.548,2.399,0.0867155761264164,call,0.428571428571429,0.0942299358109235,1.04,2.3,20855.0,35,10000802.SH,0.0026,2.548,2.399,0.0867155761264164,put,-0.0285714285714285,0.1011509852831363,0.96,6.489795918367353
71,2017-05-24,2.5,8614.0,35,10000801.SH,0.0025,2.548,2.399,0.0867155761264164,call,0.5200000000000005,0.0900115980000496,1.04,2.3,3696.0,35,10000735.SH,0.0027,2.548,2.399,0.0867155761264164,put,-0.0285714285714285,0.1020829630428552,0.96,7.054945054945062
72,2017-05-24,2.5,8614.0,35,10000801.SH,0.0025,2.548,2.399,0.0867155761264164,call,0.5200000000000005,0.0900115980000496,1.04,2.3,20855.0,35,10000802.SH,0.0026,2.548,2.399,0.0867155761264164,put,-0.0285714285714285,0.1011509852831363,0.96,7.210084033613452
73,2017-06-01,2.6,17654.0,27,10000917.SH,0.0041,2.548,2.49,0.1283878678209623,call,-0.037037037037037,0.1207568504954576,1.04,2.4,5491.0,27,10000740.SH,0.0065,2.548,2.49,0.1283878678209623,put,-0.037037037037037,0.1330407655952573,0.96,-1.1111111111111112
74,2017-06-01,2.6,17654.0,27,10000917.SH,0.0041,2.548,2.49,0.1283878678209623,call,-0.037037037037037,0.1207568504954576,1.04,2.4,30513.0,27,10000804.SH,0.007,2.548,2.49,0.1283878678209623,put,-0.037037037037037,0.1363214036033749,0.96,-1.1111111111111112
75,2017-06-06,2.55,9223.0,50,10000911.SH,0.0135,2.677,2.457,0.1389878209328303,call,0.1681481481481485,0.1175222868547141,1.04,2.35,6245.0,50,10000907.SH,0.0078,2.677,2.457,0.1389878209328303,put,-0.02,0.1205148557586669,0.96,2.977464788732401
76,2017-06-08,2.6,14162.0,48,10000919.SH,0.02,2.677,2.501,0.1392112701555125,call,0.0593749999999999,0.1458017560333013,1.04,2.4,7862.0,48,10000908.SH,0.0138,2.677,2.501,0.1392112701555125,put,-0.0208333333333333,0.1427561986266375,0.96,0.7988165680473367
77,2017-06-13,2.6,13451.0,43,10000919.SH,0.02,2.677,2.512,0.1401988250728627,call,0.0662790697674418,0.144452486364156,1.04,2.4,6926.0,43,10000908.SH,0.0136,2.677,2.512,0.1401988250728627,put,-0.0232558139534883,0.1581449777249992,0.96,0.9011627906976737
78,2017-06-16,2.55,15772.0,40,10000911.SH,0.0141,2.677,2.46,0.1466450229074115,call,0.2001773049645394,0.1324707070576548,1.04,2.35,3841.0,40,10000907.SH,0.0067,2.677,2.46,0.1466450229074115,put,-0.025,0.1294690186476111,0.96,3.8293269230769313
79,2017-06-19,2.6,21165.0,37,10000919.SH,0.0139,2.677,2.497,0.153422468649496,call,0.122691036360101,0.1466725794580579,1.04,2.4,12627.0,37,10000908.SH,0.0088,2.677,2.497,0.153422468649496,put,-0.027027027027027,0.1331350600961446,0.96,1.9395166091201321
80,2017-06-21,2.6,23508.0,35,10000919.SH,0.0131,2.677,2.509,0.1519154770252584,call,0.1393675027262812,0.1361481925922632,1.04,2.4,16869.0,35,10000908.SH,0.0068,2.677,2.509,0.1519154770252584,put,-0.0285714285714285,0.1348889854963421,0.96,2.459440057430005
81,2017-06-26,2.65,38357.0,30,10000927.SH,0.0139,2.677,2.5540000000000003,0.1485643392284594,call,0.0314148681055159,0.1536798172035217,1.04,2.45,31627.0,30,10000909.SH,0.0108,2.677,2.5540000000000003,0.1485643392284594,put,-0.0333333333333333,0.1614275826854109,0.96,0.09311740890688802
82,2017-06-28,2.65,41749.0,28,10000927.SH,0.0116,2.677,2.548,0.1182460415024346,call,0.0474137931034487,0.1541980197260976,1.04,2.45,27300.0,28,10000909.SH,0.009,2.677,2.548,0.1182460415024346,put,-0.0357142857142857,0.1508221335432529,0.96,0.3328710124826699
83,2017-06-30,2.65,26354.0,26,10000927.SH,0.0105,2.677,2.5580000000000003,0.1197721666305104,call,0.0604395604395609,0.1441100578511357,1.04,2.45,23497.0,26,10000909.SH,0.0065,2.677,2.5580000000000003,0.1197721666305104,put,-0.0384615384615384,0.1491459325609803,0.96,0.6787330316742172
84,2017-07-11,2.7,22598.0,43,10000947.SH,0.02,2.708,2.604,0.1244798278766175,call,-0.013953488372093,0.1459975571934879,1.04,2.5,15577.0,43,10000939.SH,0.0125,2.708,2.604,0.1244798278766175,put,-0.0232558139534883,0.1413531059901714,0.96,-0.5259391771019677
85,2017-07-12,2.7,39972.0,42,10000947.SH,0.02,2.708,2.597,0.124977829661162,call,-0.0142857142857142,0.1541856815707981,1.04,2.5,20792.0,42,10000939.SH,0.02,2.708,2.597,0.124977829661162,put,-0.0238095238095238,0.1672235950500071,0.96,-0.5714285714285713
86,2017-07-24,2.8,52621.0,30,10000963.SH,0.02,2.708,2.7,0.1276969133944539,call,-0.0333333333333333,0.1744989939582347,1.04,2.6,38035.0,30,10000941.SH,0.0112,2.708,2.7,0.1276969133944539,put,-0.0333333333333333,0.151100606304407,0.96,-1.0
87,2017-08-10,2.75,20239.0,48,10000957.SH,0.02,2.7110000000000003,2.655,0.1301044844927698,call,-0.0208333333333333,0.1340010555470884,1.04,2.55,17607.0,48,10000914.SH,0.011,2.7110000000000003,2.655,0.1301044844927698,put,-0.0208333333333333,0.1265230605525672,0.96,-0.625
88,2017-08-15,2.75,19510.0,43,10000957.SH,0.02,2.7110000000000003,2.651,0.1310575461444343,call,-0.0232558139534883,0.1458124252593815,1.04,2.55,13086.0,43,10000914.SH,0.0113,2.7110000000000003,2.651,0.1310575461444343,put,-0.0232558139534883,0.1313998505450486,0.96,-0.6976744186046512
89,2017-08-17,2.75,15512.0,41,10000957.SH,0.02,2.7110000000000003,2.652,0.1320818725738015,call,-0.024390243902439,0.148721666911602,1.04,2.55,10191.0,41,10000914.SH,0.0088,2.7110000000000003,2.652,0.1320818725738015,put,-0.024390243902439,0.1235892617989778,0.96,-0.7317073170731707
90,2017-08-24,2.8,45929.0,34,10000965.SH,0.0095,2.7110000000000003,2.698,0.1172541428594759,call,-0.0294117647058823,0.1217368695748448,1.04,2.6,31489.0,34,10000922.SH,0.0077,2.7110000000000003,2.698,0.1172541428594759,put,-0.0294117647058823,0.1234303558954596,0.96,-0.8823529411764706
91,2017-10-09,2.85,17682.0,44,10001021.SH,0.02,3.067,2.75,0.0713424191980218,call,0.2238636363636364,0.1394693617385625,1.04,2.65,5491.0,44,10001017.SH,0.0075,3.067,2.75,0.0713424191980218,put,-0.0227272727272727,0.10813640773952,0.96,4.6983471074380185
