,Unnamed: 0_otm,交易日期,行权价_otm,成交量(手)_otm,到期剩余天数_otm,期权代码_otm,收盘价_otm,到期ETF收盘价_otm,现期ETF收盘价_otm,monthly_RV_otm,option_type_otm,期权收益率_otm,IV_otm,在值程度_otm,Unnamed: 0_atm,行权价_atm,成交量(手)_atm,到期剩余天数_atm,期权代码_atm,收盘价_atm,到期ETF收盘价_atm,现期ETF收盘价_atm,monthly_RV_atm,option_type_atm,期权收益率_atm,IV_atm,在值程度_atm,Unnamed: 0_itm,行权价_itm,成交量(手)_itm,到期剩余天数_itm,期权代码_itm,收盘价_itm,到期ETF收盘价_itm,现期ETF收盘价_itm,monthly_RV_itm,option_type_itm,期权收益率_itm,IV_itm,在值程度_itm,Return
16,921,2016-12-16,2.4,3424.0,40,10000752.SH,0.02,2.357,2.301,0.1565595833064847,call,-0.75,0.1751079743094146,1.04,198,2.3,12606.0,40,10000777.SH,0.05,2.357,2.301,0.1565595833064847,call,0.1050000000000057,0.1533001954107583,1,927,2.2,1717.0,40,10000825.SH,0.11,2.357,2.301,0.1565595833064847,call,0.3204545454545456,0.1078206224893927,0.96,0.009749999999999447
17,922,2016-12-16,2.4,13893.0,40,10000779.SH,0.02,2.357,2.301,0.1565595833064847,call,-0.75,0.1751079743094146,1.04,197,2.3,2214.0,40,10000750.SH,0.05,2.357,2.301,0.1565595833064847,call,0.1050000000000057,0.1533001954107583,1,927,2.2,1717.0,40,10000825.SH,0.11,2.357,2.301,0.1565595833064847,call,0.3204545454545456,0.1078206224893927,0.96,0.009749999999999447
18,922,2016-12-16,2.4,13893.0,40,10000779.SH,0.02,2.357,2.301,0.1565595833064847,call,-0.75,0.1751079743094146,1.04,198,2.3,12606.0,40,10000777.SH,0.05,2.357,2.301,0.1565595833064847,call,0.1050000000000057,0.1533001954107583,1,927,2.2,1717.0,40,10000825.SH,0.11,2.357,2.301,0.1565595833064847,call,0.3204545454545456,0.1078206224893927,0.96,0.009749999999999447
19,950,2016-12-21,2.4,4005.0,35,10000752.SH,0.02,2.357,2.298,0.1540357522644946,call,-0.8571428571428571,0.191325138346672,1.04,203,2.3,4797.0,35,10000750.SH,0.05,2.357,2.298,0.1540357522644946,call,0.1200000000000065,0.1707605925071239,1,934,2.2,9250.0,35,10000825.SH,0.11,2.357,2.298,0.1540357522644946,call,0.3662337662337663,0.1390734678859114,0.96,0.01114285714285651
20,950,2016-12-21,2.4,4005.0,35,10000752.SH,0.02,2.357,2.298,0.1540357522644946,call,-0.8571428571428571,0.191325138346672,1.04,204,2.3,29475.0,35,10000777.SH,0.04,2.357,2.298,0.1540357522644946,call,0.3642857142857225,0.1354874158306717,1,934,2.2,9250.0,35,10000825.SH,0.11,2.357,2.298,0.1540357522644946,call,0.3662337662337663,0.1390734678859114,0.96,-0.006000000000000635
21,951,2016-12-21,2.4,15533.0,35,10000779.SH,0.02,2.357,2.298,0.1540357522644946,call,-0.8571428571428571,0.191325138346672,1.04,203,2.3,4797.0,35,10000750.SH,0.05,2.357,2.298,0.1540357522644946,call,0.1200000000000065,0.1707605925071239,1,934,2.2,9250.0,35,10000825.SH,0.11,2.357,2.298,0.1540357522644946,call,0.3662337662337663,0.1390734678859114,0.96,0.01114285714285651
22,951,2016-12-21,2.4,15533.0,35,10000779.SH,0.02,2.357,2.298,0.1540357522644946,call,-0.8571428571428571,0.191325138346672,1.04,204,2.3,29475.0,35,10000777.SH,0.04,2.357,2.298,0.1540357522644946,call,0.3642857142857225,0.1354874158306717,1,934,2.2,9250.0,35,10000825.SH,0.11,2.357,2.298,0.1540357522644946,call,0.3662337662337663,0.1390734678859114,0.96,-0.006000000000000635
23,979,2016-12-26,2.4,4053.0,30,10000752.SH,0.0133,2.357,2.298,0.1537869861526153,call,-1.0,0.1741175244224071,1.04,209,2.3,8656.0,30,10000750.SH,0.04,2.357,2.298,0.1537869861526153,call,0.4250000000000096,0.1477349721153378,1,941,2.2,13739.0,30,10000825.SH,0.1,2.357,2.298,0.1537869861526153,call,0.5700000000000003,,0.96,0.009699999999999251
24,979,2016-12-26,2.4,4053.0,30,10000752.SH,0.0133,2.357,2.298,0.1537869861526153,call,-1.0,0.1741175244224071,1.04,210,2.3,42278.0,30,10000777.SH,0.04,2.357,2.298,0.1537869861526153,call,0.4250000000000096,0.1477349721153378,1,941,2.2,13739.0,30,10000825.SH,0.1,2.357,2.298,0.1537869861526153,call,0.5700000000000003,,0.96,0.009699999999999251
25,980,2016-12-26,2.4,21031.0,30,10000779.SH,0.0124,2.357,2.298,0.1537869861526153,call,-1.0,0.1693287108416259,1.04,209,2.3,8656.0,30,10000750.SH,0.04,2.357,2.298,0.1537869861526153,call,0.4250000000000096,0.1477349721153378,1,941,2.2,13739.0,30,10000825.SH,0.1,2.357,2.298,0.1537869861526153,call,0.5700000000000003,,0.96,0.010599999999999263
26,980,2016-12-26,2.4,21031.0,30,10000779.SH,0.0124,2.357,2.298,0.1537869861526153,call,-1.0,0.1693287108416259,1.04,210,2.3,42278.0,30,10000777.SH,0.04,2.357,2.298,0.1537869861526153,call,0.4250000000000096,0.1477349721153378,1,941,2.2,13739.0,30,10000825.SH,0.1,2.357,2.298,0.1537869861526153,call,0.5700000000000003,,0.96,0.010599999999999263
27,1039,2017-01-11,2.4,4865.0,42,10000835.SH,0.0109,2.396,2.303,0.1112674378033126,call,-0.7142857142857143,0.1301062515862882,1.04,225,2.3,6778.0,42,10000833.SH,0.04,2.396,2.303,0.1112674378033126,call,1.0000000000000016,0.1133634940541983,1,966,2.2,3466.0,42,10000831.SH,0.11,2.396,2.303,0.1112674378033126,call,0.5584415584415566,0.0837705179754495,0.96,-0.026357142857143176
28,1057,2017-01-20,2.45,4240.0,33,10000841.SH,0.0054,2.396,2.349,0.0902583395369205,call,-0.9090909090909092,0.1171924945200681,1.04,232,2.35,29423.0,33,10000834.SH,0.03,2.396,2.349,0.0902583395369205,call,0.4848484848484795,0.0994710888147354,1,984,2.25,3958.0,33,10000832.SH,0.11,2.396,2.349,0.0902583395369205,call,0.2975206611570241,0.1354111219235062,0.96,-0.0012727272727270317
29,1059,2017-01-23,2.45,4295.0,30,10000841.SH,0.0049,2.396,2.3480000000000003,0.0877787529826727,call,-1.0,0.1206644633422493,1.04,233,2.35,44819.0,30,10000834.SH,0.03,2.396,2.3480000000000003,0.0877787529826727,call,0.5333333333333274,0.1071305202572345,1,987,2.25,3826.0,30,10000832.SH,0.1,2.396,2.3480000000000003,0.0877787529826727,call,0.4599999999999991,,0.96,0.00910000000000026
30,1061,2017-01-24,2.45,5552.0,29,10000841.SH,0.0043,2.396,2.354,0.0869791474357115,call,-1.0344827586206895,0.1129171746972799,1.04,234,2.35,31129.0,29,10000834.SH,0.03,2.396,2.354,0.0869791474357115,call,0.5517241379310285,0.0969989278041124,1,990,2.25,3302.0,29,10000832.SH,0.11,2.396,2.354,0.0869791474357115,call,0.3385579937304067,0.1082689684032201,0.96,-0.00031034482758592866
31,1089,2017-02-08,2.45,2573.0,42,10000745.SH,0.0101,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1279946388916372,1.04,243,2.35,9487.0,42,10000695.SH,0.04,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1192083822030723,1,1030,2.25,3018.0,42,10000675.SH,0.11,2.336,2.3480000000000003,0.0875465248125442,call,-0.1558441558441567,0.1186328996455073,0.96,0.03278571428571418
32,1089,2017-02-08,2.45,2573.0,42,10000745.SH,0.0101,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1279946388916372,1.04,243,2.35,9487.0,42,10000695.SH,0.04,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1192083822030723,1,1031,2.25,4804.0,42,10000819.SH,0.11,2.336,2.3480000000000003,0.0875465248125442,call,-0.1558441558441567,0.1186328996455073,0.96,0.03278571428571418
33,1089,2017-02-08,2.45,2573.0,42,10000745.SH,0.0101,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1279946388916372,1.04,244,2.35,28261.0,42,10000788.SH,0.04,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1192083822030723,1,1030,2.25,3018.0,42,10000675.SH,0.11,2.336,2.3480000000000003,0.0875465248125442,call,-0.1558441558441567,0.1186328996455073,0.96,0.03278571428571418
34,1089,2017-02-08,2.45,2573.0,42,10000745.SH,0.0101,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1279946388916372,1.04,244,2.35,28261.0,42,10000788.SH,0.04,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1192083822030723,1,1031,2.25,4804.0,42,10000819.SH,0.11,2.336,2.3480000000000003,0.0875465248125442,call,-0.1558441558441567,0.1186328996455073,0.96,0.03278571428571418
35,1090,2017-02-08,2.45,14116.0,42,10000790.SH,0.0093,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1241830429733395,1.04,243,2.35,9487.0,42,10000695.SH,0.04,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1192083822030723,1,1030,2.25,3018.0,42,10000675.SH,0.11,2.336,2.3480000000000003,0.0875465248125442,call,-0.1558441558441567,0.1186328996455073,0.96,0.03335714285714275
36,1090,2017-02-08,2.45,14116.0,42,10000790.SH,0.0093,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1241830429733395,1.04,243,2.35,9487.0,42,10000695.SH,0.04,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1192083822030723,1,1031,2.25,4804.0,42,10000819.SH,0.11,2.336,2.3480000000000003,0.0875465248125442,call,-0.1558441558441567,0.1186328996455073,0.96,0.03335714285714275
37,1090,2017-02-08,2.45,14116.0,42,10000790.SH,0.0093,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1241830429733395,1.04,244,2.35,28261.0,42,10000788.SH,0.04,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1192083822030723,1,1030,2.25,3018.0,42,10000675.SH,0.11,2.336,2.3480000000000003,0.0875465248125442,call,-0.1558441558441567,0.1186328996455073,0.96,0.03335714285714275
38,1090,2017-02-08,2.45,14116.0,42,10000790.SH,0.0093,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1241830429733395,1.04,244,2.35,28261.0,42,10000788.SH,0.04,2.336,2.3480000000000003,0.0875465248125442,call,-0.7142857142857143,0.1192083822030723,1,1031,2.25,4804.0,42,10000819.SH,0.11,2.336,2.3480000000000003,0.0875465248125442,call,-0.1558441558441567,0.1186328996455073,0.96,0.03335714285714275
39,1096,2017-02-09,2.45,3590.0,41,10000745.SH,0.0109,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1280546607389152,1.04,245,2.35,5267.0,41,10000695.SH,0.04,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1105559974797368,1,1039,2.25,2799.0,41,10000675.SH,0.11,2.336,2.354,0.0835995176163915,call,-0.1596452328159654,0.0616092837100028,0.96,0.0329999999999999
40,1096,2017-02-09,2.45,3590.0,41,10000745.SH,0.0109,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1280546607389152,1.04,245,2.35,5267.0,41,10000695.SH,0.04,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1105559974797368,1,1040,2.25,4111.0,41,10000819.SH,0.11,2.336,2.354,0.0835995176163915,call,-0.1596452328159654,0.0616092837100028,0.96,0.0329999999999999
41,1096,2017-02-09,2.45,3590.0,41,10000745.SH,0.0109,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1280546607389152,1.04,246,2.35,27620.0,41,10000788.SH,0.04,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1105559974797368,1,1039,2.25,2799.0,41,10000675.SH,0.11,2.336,2.354,0.0835995176163915,call,-0.1596452328159654,0.0616092837100028,0.96,0.0329999999999999
42,1096,2017-02-09,2.45,3590.0,41,10000745.SH,0.0109,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1280546607389152,1.04,246,2.35,27620.0,41,10000788.SH,0.04,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1105559974797368,1,1040,2.25,4111.0,41,10000819.SH,0.11,2.336,2.354,0.0835995176163915,call,-0.1596452328159654,0.0616092837100028,0.96,0.0329999999999999
43,1097,2017-02-09,2.45,11078.0,41,10000790.SH,0.0099,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1234323824523687,1.04,245,2.35,5267.0,41,10000695.SH,0.04,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1105559974797368,1,1039,2.25,2799.0,41,10000675.SH,0.11,2.336,2.354,0.0835995176163915,call,-0.1596452328159654,0.0616092837100028,0.96,0.03373170731707306
44,1097,2017-02-09,2.45,11078.0,41,10000790.SH,0.0099,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1234323824523687,1.04,245,2.35,5267.0,41,10000695.SH,0.04,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1105559974797368,1,1040,2.25,4111.0,41,10000819.SH,0.11,2.336,2.354,0.0835995176163915,call,-0.1596452328159654,0.0616092837100028,0.96,0.03373170731707306
45,1097,2017-02-09,2.45,11078.0,41,10000790.SH,0.0099,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1234323824523687,1.04,246,2.35,27620.0,41,10000788.SH,0.04,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1105559974797368,1,1039,2.25,2799.0,41,10000675.SH,0.11,2.336,2.354,0.0835995176163915,call,-0.1596452328159654,0.0616092837100028,0.96,0.03373170731707306
46,1097,2017-02-09,2.45,11078.0,41,10000790.SH,0.0099,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1234323824523687,1.04,246,2.35,27620.0,41,10000788.SH,0.04,2.336,2.354,0.0835995176163915,call,-0.7317073170731707,0.1105559974797368,1,1040,2.25,4111.0,41,10000819.SH,0.11,2.336,2.354,0.0835995176163915,call,-0.1596452328159654,0.0616092837100028,0.96,0.03373170731707306
47,1141,2017-02-20,2.5,4276.0,30,10000763.SH,0.0054,2.336,2.395,0.0914627983354122,call,-1.0,0.1242905696987509,1.04,259,2.4,14169.0,30,10000696.SH,0.03,2.336,2.395,0.0914627983354122,call,-1.0,0.1103253872244059,1,1108,2.3,5676.0,30,10000681.SH,0.1,2.336,2.395,0.0914627983354122,call,-0.6399999999999997,0.0790538855834007,0.96,-0.009399999999999978
48,1141,2017-02-20,2.5,4276.0,30,10000763.SH,0.0054,2.336,2.395,0.0914627983354122,call,-1.0,0.1242905696987509,1.04,259,2.4,14169.0,30,10000696.SH,0.03,2.336,2.395,0.0914627983354122,call,-1.0,0.1103253872244059,1,1109,2.3,22797.0,30,10000787.SH,0.1,2.336,2.395,0.0914627983354122,call,-0.6399999999999997,0.0790538855834007,0.96,-0.009399999999999978
49,1141,2017-02-20,2.5,4276.0,30,10000763.SH,0.0054,2.336,2.395,0.0914627983354122,call,-1.0,0.1242905696987509,1.04,260,2.4,53366.0,30,10000789.SH,0.03,2.336,2.395,0.0914627983354122,call,-1.0,0.1103253872244059,1,1108,2.3,5676.0,30,10000681.SH,0.1,2.336,2.395,0.0914627983354122,call,-0.6399999999999997,0.0790538855834007,0.96,-0.009399999999999978
50,1141,2017-02-20,2.5,4276.0,30,10000763.SH,0.0054,2.336,2.395,0.0914627983354122,call,-1.0,0.1242905696987509,1.04,260,2.4,53366.0,30,10000789.SH,0.03,2.336,2.395,0.0914627983354122,call,-1.0,0.1103253872244059,1,1109,2.3,22797.0,30,10000787.SH,0.1,2.336,2.395,0.0914627983354122,call,-0.6399999999999997,0.0790538855834007,0.96,-0.009399999999999978
51,1142,2017-02-20,2.5,8804.0,30,10000791.SH,0.0051,2.336,2.395,0.0914627983354122,call,-1.0,0.1221858115348219,1.04,259,2.4,14169.0,30,10000696.SH,0.03,2.336,2.395,0.0914627983354122,call,-1.0,0.1103253872244059,1,1108,2.3,5676.0,30,10000681.SH,0.1,2.336,2.395,0.0914627983354122,call,-0.6399999999999997,0.0790538855834007,0.96,-0.00909999999999997
52,1142,2017-02-20,2.5,8804.0,30,10000791.SH,0.0051,2.336,2.395,0.0914627983354122,call,-1.0,0.1221858115348219,1.04,259,2.4,14169.0,30,10000696.SH,0.03,2.336,2.395,0.0914627983354122,call,-1.0,0.1103253872244059,1,1109,2.3,22797.0,30,10000787.SH,0.1,2.336,2.395,0.0914627983354122,call,-0.6399999999999997,0.0790538855834007,0.96,-0.00909999999999997
53,1142,2017-02-20,2.5,8804.0,30,10000791.SH,0.0051,2.336,2.395,0.0914627983354122,call,-1.0,0.1221858115348219,1.04,260,2.4,53366.0,30,10000789.SH,0.03,2.336,2.395,0.0914627983354122,call,-1.0,0.1103253872244059,1,1108,2.3,5676.0,30,10000681.SH,0.1,2.336,2.395,0.0914627983354122,call,-0.6399999999999997,0.0790538855834007,0.96,-0.00909999999999997
54,1142,2017-02-20,2.5,8804.0,30,10000791.SH,0.0051,2.336,2.395,0.0914627983354122,call,-1.0,0.1221858115348219,1.04,260,2.4,53366.0,30,10000789.SH,0.03,2.336,2.395,0.0914627983354122,call,-1.0,0.1103253872244059,1,1109,2.3,22797.0,30,10000787.SH,0.1,2.336,2.395,0.0914627983354122,call,-0.6399999999999997,0.0790538855834007,0.96,-0.00909999999999997
55,1146,2017-02-21,2.5,4494.0,29,10000763.SH,0.005,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1254708602844476,1.04,261,2.4,13948.0,29,10000696.SH,0.03,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1161892892454564,1,1119,2.3,2752.0,29,10000681.SH,0.1,2.336,2.393,0.0906791660469005,call,-0.6620689655172411,0.1074243710090517,0.96,-0.009310344827586187
56,1146,2017-02-21,2.5,4494.0,29,10000763.SH,0.005,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1254708602844476,1.04,261,2.4,13948.0,29,10000696.SH,0.03,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1161892892454564,1,1120,2.3,12174.0,29,10000787.SH,0.1,2.336,2.393,0.0906791660469005,call,-0.6620689655172411,0.1074243710090517,0.96,-0.009310344827586187
57,1146,2017-02-21,2.5,4494.0,29,10000763.SH,0.005,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1254708602844476,1.04,262,2.4,72676.0,29,10000789.SH,0.03,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1161892892454564,1,1119,2.3,2752.0,29,10000681.SH,0.1,2.336,2.393,0.0906791660469005,call,-0.6620689655172411,0.1074243710090517,0.96,-0.009310344827586187
58,1146,2017-02-21,2.5,4494.0,29,10000763.SH,0.005,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1254708602844476,1.04,262,2.4,72676.0,29,10000789.SH,0.03,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1161892892454564,1,1120,2.3,12174.0,29,10000787.SH,0.1,2.336,2.393,0.0906791660469005,call,-0.6620689655172411,0.1074243710090517,0.96,-0.009310344827586187
59,1147,2017-02-21,2.5,15938.0,29,10000791.SH,0.0046,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1224825233081579,1.04,261,2.4,13948.0,29,10000696.SH,0.03,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1161892892454564,1,1119,2.3,2752.0,29,10000681.SH,0.1,2.336,2.393,0.0906791660469005,call,-0.6620689655172411,0.1074243710090517,0.96,-0.0088965517241379
60,1147,2017-02-21,2.5,15938.0,29,10000791.SH,0.0046,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1224825233081579,1.04,261,2.4,13948.0,29,10000696.SH,0.03,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1161892892454564,1,1120,2.3,12174.0,29,10000787.SH,0.1,2.336,2.393,0.0906791660469005,call,-0.6620689655172411,0.1074243710090517,0.96,-0.0088965517241379
61,1147,2017-02-21,2.5,15938.0,29,10000791.SH,0.0046,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1224825233081579,1.04,262,2.4,72676.0,29,10000789.SH,0.03,2.336,2.393,0.0906791660469005,call,-1.0344827586206895,0.1161892892454564,1,1119,2.3,2752.0,29,10000681.SH,0.1,2.336,2.393,0.0906791660469005,call,-0.6620689655172411,0.1074243710090517,0.96,-0.0088965517241379
