,Unnamed: 0_call,交易日期_x,行权价_call,成交量(手)_call,到期剩余天数_call,期权代码_call,收盘价_call,到期ETF收盘价_call,现期ETF收盘价_call,monthly_RV_call,option_type_call,期权收益率_call,IV_call,在值程度_call,Unnamed: 0_put,行权价_put,成交量(手)_put,到期剩余天数_put,期权代码_put,收盘价_put,到期ETF收盘价_put,现期ETF收盘价_put,monthly_RV_put,option_type_put,期权收益率_put,IV_put,在值程度_put,Return,交易日期_y,CV_22,intensity_22,size_22,sizevol_22
10,773,2016-09-23,2.35,8339.0,33,10000702.SH,0.0081,2.311,2.249,0.0,call,-1.0,0.139720654795289,1.04,644,2.15,5415.0,33,10000710.SH,0.0051,2.311,2.249,0.0,put,-1.0,0.1325827637338041,0.96,-1.0,2016-10-25,0.0001509350548924,2,0.0576268629216797,0.5778522483754394
11,803,2016-10-17,2.35,6429.0,37,10000723.SH,0.0054,2.415,2.25,0.0,call,0.0695552709720546,0.1143207441706657,1.04,673,2.15,5057.0,37,10000719.SH,0.0063,2.415,2.25,0.0,put,-1.0,0.1348426131058931,0.96,3.016364353946176,2016-11-24,0.0002151770713962,2,0.0676892072534383,0.8499606520280046
12,843,2016-11-22,2.5,24696.0,36,10000743.SH,0.0084,2.278,2.408,0.0,call,-1.0,0.1184574236590266,1.04,797,2.3,20057.0,36,10000662.SH,0.0087,2.278,2.408,0.0,put,0.0261049008876488,0.1492161467974185,0.96,0.2336410397352311,2016-12-26,0.0003542735835626,2,0.0935880282050721,1.7605593471067151
13,849,2016-11-25,2.55,20148.0,33,10000759.SH,0.0063,2.278,2.451,0.0,call,-1.0,0.1161565663118362,1.04,825,2.35,35368.0,33,10000670.SH,0.0091,2.278,2.451,0.0,put,0.0646845270314095,0.1484877784024476,0.96,3.063682755457063,2016-12-26,0.0003542735835626,2,0.0935880282050721,1.7605593471067151
14,851,2016-11-28,2.55,54969.0,30,10000759.SH,0.0131,2.278,2.46,0.0,call,-1.0,0.1498539161776304,1.04,835,2.35,28283.0,30,10000670.SH,0.0087,2.278,2.46,0.0,put,0.0729853065780476,0.1611075059030056,0.96,2.3027522935779845,2016-12-26,0.0003542735835626,2,0.0935880282050721,1.7605593471067151
15,921,2016-12-16,2.4,3424.0,40,10000752.SH,0.02,2.357,2.301,0.0,call,-1.0,0.1751079743094146,1.04,927,2.2,13162.0,40,10000826.SH,0.012,2.357,2.301,0.0,put,-1.0,0.1597230099064112,0.96,-1.0,2017-01-26,0.0001897157628919,1,0.0612178474254104,0.6596086828388462
16,922,2016-12-16,2.4,13893.0,40,10000779.SH,0.02,2.357,2.301,0.0,call,-1.0,0.1751079743094146,1.04,927,2.2,13162.0,40,10000826.SH,0.012,2.357,2.301,0.0,put,-1.0,0.1597230099064112,0.96,-1.0,2017-01-26,0.0001897157628919,1,0.0612178474254104,0.6596086828388462
17,950,2016-12-21,2.4,4005.0,35,10000752.SH,0.02,2.357,2.298,0.0,call,-1.0,0.191325138346672,1.04,934,2.2,19938.0,35,10000826.SH,0.013,2.357,2.298,0.0,put,-1.0,0.1724118787603378,0.96,-1.0,2017-01-26,0.0001897157628919,1,0.0612178474254104,0.6596086828388462
18,951,2016-12-21,2.4,15533.0,35,10000779.SH,0.02,2.357,2.298,0.0,call,-1.0,0.191325138346672,1.04,934,2.2,19938.0,35,10000826.SH,0.013,2.357,2.298,0.0,put,-1.0,0.1724118787603378,0.96,-1.0,2017-01-26,0.0001897157628919,1,0.0612178474254104,0.6596086828388462
19,979,2016-12-26,2.4,4053.0,30,10000752.SH,0.0133,2.357,2.298,0.0,call,-1.0,0.1741175244224071,1.04,941,2.2,24333.0,30,10000826.SH,0.0114,2.357,2.298,0.0,put,-1.0,0.176277834087491,0.96,-1.0,2017-01-26,0.0001897157628919,1,0.0612178474254104,0.6596086828388462
20,980,2016-12-26,2.4,21031.0,30,10000779.SH,0.0124,2.357,2.298,0.0,call,-1.0,0.1693287108416259,1.04,941,2.2,24333.0,30,10000826.SH,0.0114,2.357,2.298,0.0,put,-1.0,0.176277834087491,0.96,-1.0,2017-01-26,0.0001897157628919,1,0.0612178474254104,0.6596086828388462
21,1089,2017-02-08,2.45,2573.0,42,10000745.SH,0.0101,2.336,2.3480000000000003,0.0,call,-1.0,0.1279946388916372,1.04,1030,2.25,2430.0,42,10000680.SH,0.0072,2.336,2.3480000000000003,0.0,put,-1.0,0.1255178287210464,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
22,1089,2017-02-08,2.45,2573.0,42,10000745.SH,0.0101,2.336,2.3480000000000003,0.0,call,-1.0,0.1279946388916372,1.04,1031,2.25,10804.0,42,10000820.SH,0.0071,2.336,2.3480000000000003,0.0,put,-1.0,0.1249494391126632,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
23,1090,2017-02-08,2.45,14116.0,42,10000790.SH,0.0093,2.336,2.3480000000000003,0.0,call,-1.0,0.1241830429733395,1.04,1030,2.25,2430.0,42,10000680.SH,0.0072,2.336,2.3480000000000003,0.0,put,-1.0,0.1255178287210464,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
24,1090,2017-02-08,2.45,14116.0,42,10000790.SH,0.0093,2.336,2.3480000000000003,0.0,call,-1.0,0.1241830429733395,1.04,1031,2.25,10804.0,42,10000820.SH,0.0071,2.336,2.3480000000000003,0.0,put,-1.0,0.1249494391126632,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
25,1096,2017-02-09,2.45,3590.0,41,10000745.SH,0.0109,2.336,2.354,0.0,call,-1.0,0.1280546607389152,1.04,1039,2.25,2495.0,41,10000680.SH,0.0059,2.336,2.354,0.0,put,-1.0,0.1237816654961109,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
26,1096,2017-02-09,2.45,3590.0,41,10000745.SH,0.0109,2.336,2.354,0.0,call,-1.0,0.1280546607389152,1.04,1040,2.25,8849.0,41,10000820.SH,0.0059,2.336,2.354,0.0,put,-1.0,0.1237816654961109,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
27,1097,2017-02-09,2.45,11078.0,41,10000790.SH,0.0099,2.336,2.354,0.0,call,-1.0,0.1234323824523687,1.04,1039,2.25,2495.0,41,10000680.SH,0.0059,2.336,2.354,0.0,put,-1.0,0.1237816654961109,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
28,1097,2017-02-09,2.45,11078.0,41,10000790.SH,0.0099,2.336,2.354,0.0,call,-1.0,0.1234323824523687,1.04,1040,2.25,8849.0,41,10000820.SH,0.0059,2.336,2.354,0.0,put,-1.0,0.1237816654961109,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
29,1141,2017-02-20,2.5,4276.0,30,10000763.SH,0.0054,2.336,2.395,0.0,call,-1.0,0.1242905696987509,1.04,1108,2.3,4506.0,30,10000682.SH,0.0055,2.336,2.395,0.0,put,-1.0,0.1294941717951297,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
30,1141,2017-02-20,2.5,4276.0,30,10000763.SH,0.0054,2.336,2.395,0.0,call,-1.0,0.1242905696987509,1.04,1109,2.3,15733.0,30,10000792.SH,0.0051,2.336,2.395,0.0,put,-1.0,0.126589758116722,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
31,1142,2017-02-20,2.5,8804.0,30,10000791.SH,0.0051,2.336,2.395,0.0,call,-1.0,0.1221858115348219,1.04,1108,2.3,4506.0,30,10000682.SH,0.0055,2.336,2.395,0.0,put,-1.0,0.1294941717951297,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
32,1142,2017-02-20,2.5,8804.0,30,10000791.SH,0.0051,2.336,2.395,0.0,call,-1.0,0.1221858115348219,1.04,1109,2.3,15733.0,30,10000792.SH,0.0051,2.336,2.395,0.0,put,-1.0,0.126589758116722,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
33,1146,2017-02-21,2.5,4494.0,29,10000763.SH,0.005,2.336,2.393,0.0,call,-1.0,0.1254708602844476,1.04,1119,2.3,2532.0,29,10000682.SH,0.0055,2.336,2.393,0.0,put,-1.0,0.1297747903224229,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
34,1146,2017-02-21,2.5,4494.0,29,10000763.SH,0.005,2.336,2.393,0.0,call,-1.0,0.1254708602844476,1.04,1120,2.3,9344.0,29,10000792.SH,0.0055,2.336,2.393,0.0,put,-1.0,0.1297747903224229,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
35,1147,2017-02-21,2.5,15938.0,29,10000791.SH,0.0046,2.336,2.393,0.0,call,-1.0,0.1224825233081579,1.04,1119,2.3,2532.0,29,10000682.SH,0.0055,2.336,2.393,0.0,put,-1.0,0.1297747903224229,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
36,1147,2017-02-21,2.5,15938.0,29,10000791.SH,0.0046,2.336,2.393,0.0,call,-1.0,0.1224825233081579,1.04,1120,2.3,9344.0,29,10000792.SH,0.0055,2.336,2.393,0.0,put,-1.0,0.1297747903224229,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
37,1151,2017-02-22,2.5,2248.0,28,10000763.SH,0.0047,2.336,2.396,0.0,call,-1.0,0.12285397926867,1.04,1130,2.3,1362.0,28,10000682.SH,0.0044,2.336,2.396,0.0,put,-1.0,0.1261356901598572,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
38,1151,2017-02-22,2.5,2248.0,28,10000763.SH,0.0047,2.336,2.396,0.0,call,-1.0,0.12285397926867,1.04,1131,2.3,12425.0,28,10000792.SH,0.0041,2.336,2.396,0.0,put,-1.0,0.1236586415708065,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
39,1152,2017-02-22,2.5,9978.0,28,10000791.SH,0.0039,2.336,2.396,0.0,call,-1.0,0.116557586161375,1.04,1130,2.3,1362.0,28,10000682.SH,0.0044,2.336,2.396,0.0,put,-1.0,0.1261356901598572,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
40,1152,2017-02-22,2.5,9978.0,28,10000791.SH,0.0039,2.336,2.396,0.0,call,-1.0,0.116557586161375,1.04,1131,2.3,12425.0,28,10000792.SH,0.0041,2.336,2.396,0.0,put,-1.0,0.1236586415708065,0.96,-1.0,2017-03-06,0.0001491311342279,1,0.0566335697730959,0.6030039417807428
41,1165,2017-03-07,2.45,2482.0,50,10000860.SH,0.0086,2.339,2.354,0.0,call,-1.0,0.1051033673020005,1.04,1157,2.25,3818.0,50,10000868.SH,0.0065,2.339,2.354,0.0,put,-1.0,0.1164151311315894,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
42,1168,2017-03-08,2.45,6306.0,49,10000860.SH,0.0066,2.339,2.355,0.0,call,-1.0,0.0962079745634198,1.04,1159,2.25,2999.0,49,10000868.SH,0.0047,2.339,2.355,0.0,put,-1.0,0.1074557230365276,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
43,1177,2017-03-13,2.45,6735.0,44,10000860.SH,0.0056,2.339,2.355,0.0,call,-1.0,0.0968023517839312,1.04,1165,2.25,6125.0,44,10000868.SH,0.0039,2.339,2.355,0.0,put,-1.0,0.1072553323209881,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
44,1180,2017-03-14,2.45,6491.0,43,10000860.SH,0.0053,2.339,2.351,0.0,call,-1.0,0.0994332994888424,1.04,1167,2.25,6412.0,43,10000868.SH,0.0041,2.339,2.351,0.0,put,-1.0,0.1070461201224327,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
45,1183,2017-03-15,2.45,5849.0,42,10000860.SH,0.0066,2.339,2.354,0.0,call,-1.0,0.1055610711403787,1.04,1169,2.25,7490.0,42,10000868.SH,0.0055,2.339,2.354,0.0,put,-1.0,0.1198801858184337,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
46,1192,2017-03-20,2.45,8414.0,37,10000860.SH,0.0036,2.339,2.347,0.0,call,-1.0,0.0995756353093981,1.04,1175,2.25,6490.0,37,10000868.SH,0.0032,2.339,2.347,0.0,put,-1.0,0.1045165002629756,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
47,1195,2017-03-21,2.45,6644.0,36,10000860.SH,0.0041,2.339,2.353,0.0,call,-1.0,0.0999468528514504,1.04,1177,2.25,5411.0,36,10000868.SH,0.0028,2.339,2.353,0.0,put,-1.0,0.1066974331248402,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
48,1210,2017-03-28,2.45,6395.0,29,10000860.SH,0.0034,2.339,2.354,0.0,call,-1.0,0.1057398253806829,1.04,1187,2.25,3760.0,29,10000868.SH,0.002,2.339,2.354,0.0,put,-1.0,0.1098577890199422,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
49,1213,2017-03-29,2.45,8032.0,28,10000860.SH,0.0027,2.339,2.352,0.0,call,-1.0,0.1031339116140604,1.04,1189,2.25,2068.0,28,10000868.SH,0.0017,2.339,2.352,0.0,put,-1.0,0.1062626770632267,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
50,1219,2017-03-31,2.45,5448.0,26,10000860.SH,0.0022,2.339,2.356,0.0,call,-1.0,0.0986428230850696,1.04,1193,2.25,2654.0,26,10000868.SH,0.0011,2.339,2.356,0.0,put,-1.0,0.1036777441210746,0.96,-1.0,2017-04-07,0.0001557410396172,2,0.0654796964097261,0.7460744844110634
51,1238,2017-04-14,2.45,11868.0,40,10000873.SH,0.004,2.399,2.35,0.0,call,-1.0,0.0959811193988323,1.04,1212,2.25,4093.0,40,10000874.SH,0.0038,2.399,2.35,0.0,put,-1.0,0.107687227361083,0.96,-1.0,2017-05-10,0.0001498529017854,3,0.0553113126087703,0.5109357777627778
52,1241,2017-04-17,2.45,7050.0,37,10000873.SH,0.0036,2.399,2.353,0.0,call,-1.0,0.0949470985382795,1.04,1214,2.25,4548.0,37,10000874.SH,0.003,2.399,2.353,0.0,put,-1.0,0.1071599649370312,0.96,-1.0,2017-05-10,0.0001498529017854,3,0.0553113126087703,0.5109357777627778
53,1321,2017-05-18,2.45,1485.0,41,10000747.SH,0.0033,2.548,2.35,0.0,call,0.086225035313163,0.0898377909427881,1.04,1293,2.25,770.0,41,10000734.SH,0.0019,2.548,2.35,0.0,put,-1.0,0.0899455560866594,0.96,7.572150828893173,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
54,1321,2017-05-18,2.45,1485.0,41,10000747.SH,0.0033,2.548,2.35,0.0,call,0.086225035313163,0.0898377909427881,1.04,1294,2.25,3076.0,41,10000822.SH,0.0019,2.548,2.35,0.0,put,-1.0,0.0899455560866594,0.96,7.572150828893173,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
55,1322,2017-05-18,2.45,4424.0,41,10000800.SH,0.0034,2.548,2.35,0.0,call,0.0854344198640795,0.0905574570639729,1.04,1293,2.25,770.0,41,10000734.SH,0.0019,2.548,2.35,0.0,put,-1.0,0.0899455560866594,0.96,7.453503487540512,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
56,1322,2017-05-18,2.45,4424.0,41,10000800.SH,0.0034,2.548,2.35,0.0,call,0.0854344198640795,0.0905574570639729,1.04,1294,2.25,3076.0,41,10000822.SH,0.0019,2.548,2.35,0.0,put,-1.0,0.0899455560866594,0.96,7.453503487540512,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
57,1328,2017-05-19,2.45,944.0,40,10000747.SH,0.0034,2.548,2.355,0.0,call,0.087661306912115,0.0881010316717028,1.04,1300,2.25,760.0,40,10000734.SH,0.0021,2.548,2.355,0.0,put,-1.0,0.0963160973349809,0.96,7.672564523313431,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
58,1328,2017-05-19,2.45,944.0,40,10000747.SH,0.0034,2.548,2.355,0.0,call,0.087661306912115,0.0881010316717028,1.04,1301,2.25,2718.0,40,10000822.SH,0.0018,2.548,2.355,0.0,put,-1.0,0.0931034085879325,0.96,8.045176568853021,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
59,1329,2017-05-19,2.45,4573.0,40,10000800.SH,0.0033,2.548,2.355,0.0,call,0.0884733577238239,0.0873900678243041,1.04,1300,2.25,760.0,40,10000734.SH,0.0021,2.548,2.355,0.0,put,-1.0,0.0963160973349809,0.96,7.79274011290655,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
60,1329,2017-05-19,2.45,4573.0,40,10000800.SH,0.0033,2.548,2.355,0.0,call,0.0884733577238239,0.0873900678243041,1.04,1301,2.25,2718.0,40,10000822.SH,0.0018,2.548,2.355,0.0,put,-1.0,0.0931034085879325,0.96,8.177870483112441,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
61,1342,2017-05-23,2.5,2914.0,36,10000765.SH,0.0031,2.548,2.403,0.0,call,0.0790764376730595,0.0906009684329033,1.04,1316,2.3,5819.0,36,10000735.SH,0.0028,2.548,2.403,0.0,put,-1.0,0.1045108974291682,0.96,4.736641206104851,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
62,1342,2017-05-23,2.5,2914.0,36,10000765.SH,0.0031,2.548,2.403,0.0,call,0.0790764376730595,0.0906009684329033,1.04,1317,2.3,28388.0,36,10000802.SH,0.0028,2.548,2.403,0.0,put,-1.0,0.1045108974291682,0.96,4.736641206104851,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
63,1343,2017-05-23,2.5,12487.0,36,10000801.SH,0.0026,2.548,2.403,0.0,call,0.0843615458925062,0.086597803282082,1.04,1316,2.3,5819.0,36,10000735.SH,0.0028,2.548,2.403,0.0,put,-1.0,0.1045108974291682,0.96,5.175984982408759,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
64,1343,2017-05-23,2.5,12487.0,36,10000801.SH,0.0026,2.548,2.403,0.0,call,0.0843615458925062,0.086597803282082,1.04,1317,2.3,28388.0,36,10000802.SH,0.0028,2.548,2.403,0.0,put,-1.0,0.1045108974291682,0.96,5.175984982408759,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
65,1347,2017-05-24,2.5,2222.0,35,10000765.SH,0.003,2.548,2.399,0.0,call,0.0824389917387768,0.0942299358109235,1.04,1325,2.3,3696.0,35,10000735.SH,0.0027,2.548,2.399,0.0,put,-1.0,0.1020829630428552,0.96,5.211138082148148,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
66,1347,2017-05-24,2.5,2222.0,35,10000765.SH,0.003,2.548,2.399,0.0,call,0.0824389917387768,0.0942299358109235,1.04,1326,2.3,20855.0,35,10000802.SH,0.0026,2.548,2.399,0.0,put,-1.0,0.1011509852831363,0.96,5.306086078515049,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
67,1348,2017-05-24,2.5,8614.0,35,10000801.SH,0.0025,2.548,2.399,0.0,call,0.0880923310955736,0.0900115980000496,1.04,1325,2.3,3696.0,35,10000735.SH,0.0027,2.548,2.399,0.0,put,-1.0,0.1020829630428552,0.96,5.719651749994524,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
68,1348,2017-05-24,2.5,8614.0,35,10000801.SH,0.0025,2.548,2.399,0.0,call,0.0880923310955736,0.0900115980000496,1.04,1326,2.3,20855.0,35,10000802.SH,0.0026,2.548,2.399,0.0,put,-1.0,0.1011509852831363,0.96,5.832430070037654,2017-06-13,0.0002454012688953,2,0.0657326666168559,0.8144978621926124
69,1358,2017-06-01,2.6,17654.0,27,10000917.SH,0.0041,2.548,2.49,0.0,call,-1.0,0.1207568504954576,1.04,1373,2.4,5491.0,27,10000740.SH,0.0065,2.548,2.49,0.0,put,-1.0,0.1330407655952573,0.96,-1.0,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
70,1358,2017-06-01,2.6,17654.0,27,10000917.SH,0.0041,2.548,2.49,0.0,call,-1.0,0.1207568504954576,1.04,1374,2.4,30513.0,27,10000804.SH,0.007,2.548,2.49,0.0,put,-1.0,0.1363214036033749,0.96,-1.0,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
71,1362,2017-06-06,2.55,9223.0,50,10000911.SH,0.0135,2.677,2.457,0.0,call,0.0458499959237914,0.1175222868547141,1.04,1391,2.35,6245.0,50,10000907.SH,0.0078,2.677,2.457,0.0,put,-1.0,0.1205148557586669,0.96,1.919136952108184,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
72,1367,2017-06-08,2.6,14162.0,48,10000919.SH,0.02,2.677,2.501,0.0,call,0.0284829549602547,0.1458017560333013,1.04,1399,2.4,7862.0,48,10000908.SH,0.0138,2.677,2.501,0.0,put,-1.0,0.1427561986266375,0.96,0.6729530982668297,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
73,1373,2017-06-13,2.6,13451.0,43,10000919.SH,0.02,2.677,2.512,0.0,call,0.0318471424754964,0.144452486364156,1.04,1411,2.4,6926.0,43,10000908.SH,0.0136,2.677,2.512,0.0,put,-1.0,0.1581449777249992,0.96,0.7834808559479212,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
74,1380,2017-06-16,2.55,15772.0,40,10000911.SH,0.0141,2.677,2.46,0.0,call,0.0564881135468919,0.1324707070576548,1.04,1421,2.35,3841.0,40,10000907.SH,0.0067,2.677,2.46,0.0,put,-1.0,0.1294690186476111,0.96,2.8842331417060803,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
75,1383,2017-06-19,2.6,21165.0,37,10000919.SH,0.0139,2.677,2.497,0.0,call,0.0473550809715717,0.1466725794580579,1.04,1425,2.4,12627.0,37,10000908.SH,0.0088,2.677,2.497,0.0,put,-1.0,0.1331350600961446,0.96,1.692195845397192,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
76,1387,2017-06-21,2.6,23508.0,35,10000919.SH,0.0131,2.677,2.509,0.0,call,0.051907854564773,0.1361481925922632,1.04,1433,2.4,16869.0,35,10000908.SH,0.0068,2.677,2.509,0.0,put,-1.0,0.1348889854963421,0.96,2.1892562348465936,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
77,1392,2017-06-26,2.65,38357.0,30,10000927.SH,0.0139,2.677,2.5540000000000003,0.0,call,0.02237832148631,0.1536798172035217,1.04,1447,2.45,31627.0,30,10000909.SH,0.0108,2.677,2.5540000000000003,0.0,put,-1.0,0.1614275826854109,0.96,0.093117408906888,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
78,1396,2017-06-28,2.65,41749.0,28,10000927.SH,0.0116,2.677,2.548,0.0,call,0.0306323677658324,0.1541980197260976,1.04,1457,2.45,27300.0,28,10000909.SH,0.009,2.677,2.548,0.0,put,-1.0,0.1508221335432529,0.96,0.3362544178533262,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
79,1400,2017-06-30,2.65,26354.0,26,10000927.SH,0.0105,2.677,2.5580000000000003,0.0,call,0.0369932774063994,0.1441100578511357,1.04,1467,2.45,23497.0,26,10000909.SH,0.0065,2.677,2.5580000000000003,0.0,put,-1.0,0.1491459325609803,0.96,0.7053943451635356,2017-07-13,0.0003054523240906,2,0.1046252549010674,2.391864541485956
